"user_id","click_timestamp"
3054,"2021-05-27 14:51:12.981514"
3054,"2021-06-03 01:33:15.218351"
3054,"2021-06-03 02:28:21.062614"
3054,"2021-06-03 02:34:45.58797"
3054,"2021-06-03 02:43:17.647923"
3054,"2021-06-03 02:45:30.828599"
3054,"2021-06-03 14:48:11.831047"
3054,"2021-06-03 14:52:12.951203"
3054,"2021-06-03 14:53:40.900139"
3054,"2021-06-03 14:58:12.367714"
3054,"2021-06-03 15:10:05.177431"
3054,"2021-06-03 15:27:35.700239"
3054,"2021-06-03 15:59:00.190654"
3054,"2021-06-08 15:19:05.436305"
3054,"2021-06-09 17:31:17.87941"
3054,"2021-06-09 17:34:29.807881"
3054,"2021-06-09 18:05:39.390706"
3054,"2021-06-09 18:24:38.506202"
3054,"2021-06-09 19:02:59.65012"
3054,"2021-06-09 22:18:29.068867"
3054,"2021-06-11 00:25:10.063796"
3054,"2021-06-11 15:43:08.150957"
3054,"2021-06-11 17:53:07.337544"
3054,"2021-06-12 13:04:38.445046"
3054,"2021-06-16 22:19:24.692173"
3054,"2021-06-17 00:49:56.059314"
3054,"2021-06-22 15:33:45.74682"
3054,"2021-06-23 01:26:11.080735"
3054,"2021-06-23 21:01:23.380907"
3054,"2021-06-25 13:44:25.251089"
3054,"2021-06-26 15:40:39.400132"
3054,"2021-06-26 15:41:19.29597"
3054,"2021-06-30 02:18:58.290715"
3054,"2021-06-30 12:22:49.9806"
3054,"2021-07-01 03:22:14.486126"
3054,"2021-07-01 13:50:08.99691"
3054,"2021-07-01 14:47:50.422094"
3054,"2021-07-01 15:04:17.605749"
3054,"2021-07-01 17:31:27.58411"
3054,"2021-07-05 15:58:13.580323"
3054,"2021-07-05 16:17:07.450906"
3054,"2021-07-05 16:23:38.127669"
3054,"2021-07-05 16:40:23.558107"
3054,"2021-07-05 17:18:34.505686"
3054,"2021-07-05 21:13:16.03793"
3054,"2021-07-06 15:25:00.098321"
3054,"2021-07-06 17:00:03.594121"
3054,"2021-07-12 15:58:25.496134"
3054,"2021-07-18 15:04:38.733298"
3054,"2021-07-19 20:06:24.262644"
3054,"2021-07-23 01:22:04.400828"
3054,"2021-07-24 14:49:05.710844"
3054,"2021-07-26 20:16:22.159648"
3054,"2021-07-28 14:44:00.995642"
3054,"2021-07-29 13:58:24.802328"
3054,"2021-07-30 15:15:57.905867"
3054,"2021-08-02 00:56:13.308835"
3054,"2021-08-02 16:47:50.108137"
3054,"2021-08-02 23:04:20.955653"
3054,"2021-08-03 20:18:41.394477"
3054,"2021-08-07 01:17:07.422986"
3054,"2021-08-11 01:40:47.667425"
3054,"2021-08-11 19:28:57.36062"
3054,"2021-08-12 15:43:07.763859"
